brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
ZEUZ,Tênis Masculino Esportivo Caminhada Academia Musculação Leve,80,33,7,81,4.4,(5)
OLYMPIKUS,Tênis Olympikus Masculino Cyber 4 Confortável Macio Leve ,269,99,194,58,,
FILA,Tênis Fila F Virtuous Masculino Preto,359,90,35,99,,
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,139,90,13,60,4.4,(4024)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,72,58,4.6,(3021)
POLO JOY,Tênis Polo Joy Casual Masculino Academia Macio Leve Original,78,90,7,67,4.8,(98)
OLYMPIKUS,Tênis Masculino Esportivo Olympikus Soma Original,219,90,172,90,,
ZEUZ,Tênis Masculino Leve Esportivo Conforto Dia A Dia Elástico,89,90,29,97,4.5,(4)
UNDER ARMOUR,Tênis Under Armour Charged Quicker Masculino,444,33,349,90,,
FILA,Tenis Fila Racer Comet Preto,299,90,33,32,,
OLYMPIKUS,Tênis Masculino Olympikus Neblina Corrida Treino Dia A Dia,285,90,251,59,,
ADIDAS,Tênis Masculino E Feminino Runfalcon 3.0 adidas Oferta,461,05,46,10,4.8,(1014)
REEBOK,Tenis Reebok Nano Flex Tr V2 Masculino 100033531,599,44,58,12,,
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,78,90,74,95,4.6,(817)
,Tenis Masculino Academia Corrida Wave Force Promoção Barato,75,99,7,39,4.3,(329)
GLK,Tênis Esportivo Marathon Tamanho Grande Especial 45 46 47,130,90,118,47,,
OLYMPIKUS,Tênis Olympikus Proof 3 Masculino Original,199,99,149,99,4.8,(118)
